end_station_id,rides,end_station_name,end_station_lat,end_station_lng
212,1,W 16 St & The High Line,40.74334935,-74.00681753
3002,1,South End Ave & Liberty St,40.711512,-74.015756
304,5,Broadway & Battery Pl,40.70463334,-74.01361706
3183,2432,Exchange Place,40.7162469,-74.0334588
3184,811,Paulus Hook,40.7141454,-74.0335519
3185,962,City Hall,40.7177325,-74.043845
3186,4974,Grove St PATH,40.71958611647166,-74.04311746358871
3187,878,Warren St,40.7211236,-74.03805095
319,1,Fulton St & Broadway,40.711066,-74.009447
3191,143,Union St,40.7182113,-74.0836394
3192,809,Liberty Light Rail,40.7112423,-74.0557013
3193,290,Lincoln Park,40.7246050998869,-74.07840594649315
3194,374,McGinley Square,40.7253399253558,-74.06762212514877
3195,1679,Sip Ave,40.73074262530658,-74.06378388404846
3196,176,Riverview Park,40.7443187,-74.0439909
3198,270,Heights Elevator,40.748715945380226,-74.04044330120087
3199,997,Newport Pkwy,40.7287448,-74.0321082
3201,136,Dey St,40.737711,-74.066921
3202,1730,Newport PATH,40.7272235,-74.0337589
3203,1849,Hamilton Park,40.727595966,-74.044247311
3205,547,JC Medical Center,40.71653978099194,-74.0496379137039
3206,232,Hilltop,40.7311689,-74.0575736
3207,461,Oakland Ave,40.7376037,-74.0524783
3209,644,Brunswick St,40.7241765,-74.0506564
3210,368,Pershing Field,40.742677141,-74.051788633
3211,887,Newark Ave,40.72152515,-74.046304543
3212,145,Christ Hospital,40.734785818,-74.050443636
3213,795,Van Vorst Park,40.71848892,-74.047726625
3214,790,Essex Light Rail,40.7127742,-74.0364857
3220,192,5 Corners Library,40.734961020009514,-74.0595030784607
3225,328,Baldwin at Montgomery,40.7236589,-74.0641943
3267,872,Morris Canal,40.7124188237569,-74.03852552175522
3268,198,Lafayette Park,40.71346382669195,-74.06285852193832
3269,661,Brunswick & 6th,40.72601172964625,-74.05038893222809
327,3,Vesey Pl & River Terrace,40.7153379,-74.01658354
3270,626,Jersey & 6th St,40.72528910781132,-74.04557168483734
3272,702,Jersey & 3rd,40.72333158646436,-74.04595255851744
3273,581,Manila & 1st,40.721650724879986,-74.04288411140442
3275,725,Columbus Drive,40.71835519823214,-74.03891444206238
3276,862,Marin Light Rail,40.71458403535893,-74.04281705617905
3277,164,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016
3278,492,Monmouth and 6th,40.72568548362901,-74.04879033565521
3279,464,Dixon Mills,40.721630142638354,-74.04996782541275
3280,250,Astor Place,40.71928220070702,-74.07126188278198
3281,273,Leonard Gordon Park,40.74590996631558,-74.0572714805603
3426,43,JCBS Depot,40.70965083364061,-74.06860113143921
3481,275,York St,40.71649,-74.04105
3483,191,Montgomery St,40.71942,-74.05099
3552,1,W 113 St & Broadway,40.805973,-73.964928
3638,667,Washington St,40.7242941,-74.0354826
3639,1092,Harborside,40.7192517,-74.034234
3640,473,Journal Square,40.73367,-74.0625
3677,83,Glenwood Ave,40.72755146730012,-74.07106071710587
3678,223,Fairmount Ave,40.72572613742557,-74.07195925712585
3679,255,Bergen Ave,40.722103786686034,-74.07145500183105
3681,363,Grand St,40.71517767732029,-74.03768330812454
426,1,West St & Chambers St,40.71754834,-74.01322069
457,3,Broadway & W 58 St,40.76695317,-73.98169333
501,1,FDR Drive & E 35 St,40.744219,-73.97121214
514,2,12 Ave & W 40 St,40.76087502,-74.00277668
525,2,W 34 St & 11 Ave,40.75594159,-74.0021163
